variable,count
1,864
2,503
3,558
4,752
5,940
6,950
7,1021
8,1082
9,1027
10,1057
11,1031
12,968
13,1027
14,984
15,929
16,922
17,950
18,820
19,876
20,827
21,816
22,764
23,773
24,676
25,738
26,708
27,700
28,618
29,613
30,567
31,549
32,528
33,537
34,458
35,501
36,476
37,398
38,404
39,428
40,361
41,415
42,364
43,362
44,328
45,325
46,326
47,293
48,298
49,294
50,247
51,247
52,238
53,219
54,220
55,208
56,198
57,202
58,200
59,186
60,192
61,157
62,158
63,137
64,155
65,166
66,121
67,130
68,107
69,129
70,106
71,112
72,108
73,115
74,122
75,80
76,91
77,98
78,80
79,84
80,85
81,69
82,69
83,72
84,72
85,87
86,69
87,66
88,66
89,56
90,56
91,50
92,44
93,56
94,46
95,41
96,31
97,41
98,35
99,40
100,46
101,38
102,42
103,32
104,34
105,20
106,34
107,33
108,26
109,24
110,26
111,24
112,23
113,25
114,24
115,24
116,19
117,23
118,21
119,16
120,19
121,20
122,17
123,20
124,12
125,13
126,17
127,15
128,13
129,12
130,15
131,4
132,12
133,12
134,13
135,14
136,10
137,11
138,12
139,7
140,4
141,11
142,9
143,10
144,6
145,6
146,6
147,16
148,10
149,9
150,6
151,3
152,4
153,5
154,4
155,8
156,8
157,4
158,9
159,6
160,3
161,6
162,8
163,6
164,4
165,5
166,4
167,2
168,5
169,3
170,1
171,6
172,3
173,6
174,6
175,6
176,5
177,5
178,1
179,4
180,1
181,3
182,2
183,4
184,4
185,4
186,3
187,2
189,1
190,1
191,1
192,2
193,2
194,1
195,3
196,1
198,2
201,4
202,2
203,1
204,1
205,1
206,2
207,2
208,1
209,2
210,2
211,1
212,2
213,3
216,2
218,1
219,1
220,1
221,1
222,1
224,2
225,1
227,1
233,1
236,1
237,1
238,1
239,1
242,1
243,2
247,1
248,1
255,1
256,1
258,1
259,2
261,1
263,1
266,2
273,1
275,1
291,1
292,1
300,1
320,1
351,1
365,1
394,1
485,1
844,1
